numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
1,2.404567483,2.315116881,0,0,1,0,0,0,8,16,-4.378794095
2,2.404938912,2.31529184,1,0,1,0,0,0,8,16,-5.241230201
3,2.405869298,2.315632284,1,0,2,0,0,0,8,16,-4.767591643
97,2.431437249,2.345898813,6,13,67,7,1,0,8,16,-3.963562636
100,2.431714239,2.34571691,7,14,67,7,2,0,8,16,-3.958510193
107,2.433147863,2.347180678,7,17,69,9,2,0,8,16,-3.900838138
113,2.436383337,2.354247755,7,20,71,10,2,0,8,16,-3.878790528
132,2.439840168,2.361251465,9,21,84,11,3,0,8,16,-3.967682859
152,2.453264229,2.365081924,12,24,96,12,3,0,8,16,-4.003353701
162,2.453301307,2.339875661,12,28,102,11,4,0,8,16,-4.095128295
167,2.457175702,2.340758218,12,31,100,13,3,0,8,16,-4.122355964
181,2.456988782,2.328723129,11,43,98,18,2,0,8,16,-4.091648705
183,2.457350876,2.32362418,11,42,103,16,2,0,8,16,-4.086277899
184,2.459520964,2.325313671,11,44,102,16,2,0,8,16,-4.086267121
186,2.457415166,2.324523246,12,42,105,16,2,0,8,16,-4.068476741
193,2.460101056,2.33663707,11,46,105,20,2,0,8,16,-4.03257775
194,2.460452557,2.338826673,11,47,105,20,2,0,8,16,-4.029102261
196,2.458247846,2.331363106,11,48,105,20,3,0,8,16,-4.014533854
197,2.458202248,2.330147927,11,48,106,20,3,0,8,16,-4.005775419
198,2.458517543,2.330715928,11,49,107,19,3,0,8,16,-3.994482956
207,2.459206536,2.342403962,14,49,113,19,2,0,8,16,-3.981584545
216,2.460448351,2.340210557,15,56,113,17,3,0,8,16,-4.034734502
223,2.461538114,2.335743415,13,59,118,18,3,0,8,16,-4.15546443
225,2.462755328,2.335287791,15,62,114,20,2,0,8,16,-4.153200598
226,2.462562086,2.334160566,15,63,114,19,2,0,8,16,-4.179540502
227,2.461540332,2.347132115,15,63,115,19,2,0,8,16,-4.190831103
229,2.462070134,2.338718382,15,65,113,20,3,0,8,16,-4.171833918
230,2.462258544,2.342069394,15,67,113,19,3,0,8,16,-4.171716177
231,2.461963302,2.344345386,15,67,113,19,3,0,8,16,-4.176213198
232,2.463150067,2.344127308,15,68,113,19,3,0,8,16,-4.173400297
